                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.0364,                 1.5819,                0.88238,                0.42108,                0.61553,                0.49797,                 0.3502,                0.94638,                 1.5134,                0.86605,              0.0012578,              0.0012578,              0.0012578
                    123,                 1.0062,                 1.5531,                0.89105,                0.40158,                0.65832,                 0.5068,                0.33895,                0.98143,                 1.5145,                 0.8626,              0.0012564,              0.0012564,              0.0012564
                    124,                 1.0534,                 1.6001,                0.88352,                0.38403,                0.64738,                0.48673,                0.33602,                 0.9619,                 1.4591,                0.86461,               0.001255,               0.001255,               0.001255
                    125,                 1.0465,                  1.546,                0.88659,                0.39641,                0.60543,                0.47821,                0.34294,                0.89287,                 1.5729,                0.85493,              0.0012536,              0.0012536,              0.0012536
                    126,                 1.0896,                 1.5835,                0.89921,                0.44786,                0.63855,                0.53787,                0.33857,                 1.1574,                 1.5377,                0.89182,              0.0012522,              0.0012522,              0.0012522
                    127,                 1.0792,                 1.5902,                0.87948,                0.46473,                0.56516,                0.50491,                0.35292,                0.90725,                 1.5227,                0.85804,              0.0012507,              0.0012507,              0.0012507
                    128,                 1.0766,                 1.5744,                0.89804,                0.39535,                0.58504,                 0.4582,                0.27037,                 1.0914,                 1.5684,                0.87544,              0.0012493,              0.0012493,              0.0012493
                    129,                 1.1662,                 1.6002,                0.90109,                0.44078,                 0.5762,                0.51085,                0.35672,                0.94211,                 1.5136,                 0.8618,              0.0012479,              0.0012479,              0.0012479
                    130,                 1.0489,                 1.5542,                0.88012,                0.46859,                0.62194,                0.53357,                0.34633,                 1.1015,                 1.5142,                 0.8763,              0.0012465,              0.0012465,              0.0012465
                    131,                 1.0913,                 1.5558,                0.90406,                0.52608,                0.61396,                0.58261,                0.40376,                 0.9424,                 1.3941,                0.85625,              0.0012451,              0.0012451,              0.0012451
                    132,                 1.1052,                 1.4611,                0.88222,                0.46544,                0.66869,                  0.557,                0.39272,                0.91979,                 1.4121,                0.85589,              0.0012437,              0.0012437,              0.0012437
                    133,                 1.0236,                 1.4355,                  0.878,                0.50879,                0.67196,                0.57411,                0.40011,                0.93182,                 1.4234,                0.85951,              0.0012423,              0.0012423,              0.0012423
